home_team,away_team,home_points,away_points,home_fpi_strengthofrecord,home_fpi_fpi,home_fpi_averagewinprobability,home_fpi_strengthofschedule,home_fpi_remainingstrengthofschedule,home_fpi_gamecontrol,home_fpi_overall,home_fpi_offense,home_fpi_defense,home_fpi_specialteams,away_fpi_strengthofrecord,away_fpi_fpi,away_fpi_averagewinprobability,away_fpi_strengthofschedule,away_fpi_remainingstrengthofschedule,away_fpi_gamecontrol,away_fpi_overall,away_fpi_offense,away_fpi_defense,away_fpi_specialteams,home_sp_year,home_sp_team,home_sp_conference,home_sp_rating,home_sp_ranking,home_sp_secondorderwins,home_sp_sos,home_sp_offense_ranking,home_sp_offense_rating,home_sp_defense_ranking,home_sp_defense_rating,home_sp_specialteams_rating,away_sp_year,away_sp_team,away_sp_conference,away_sp_rating,away_sp_ranking,away_sp_secondorderwins,away_sp_sos,away_sp_offense_ranking,away_sp_offense_rating,away_sp_defense_ranking,away_sp_defense_rating,away_sp_specialteams_rating
Macalester,Concordia Moorhead,7.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Utah,West Georgia,28.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morehouse College,Fort Valley State,20.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray State,North Dakota State,6.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wofford,East Tennessee State,7.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,Bucknell,21.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota State Mankato,Augustana University (SD),16.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eureka College,Benedictine University,0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt,Davenport,14.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Citadel,Samford,28.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knox College,Grinnell,14.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Scholastica,Carleton,14.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kutztown University,Shepherd,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk State,Howard,21.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedict College,Miles College,14.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin-Lacrosse,Wisconsin-River Falls,28.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Forest College,Ripon,66.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin-Platteville,Wisconsin-Whitewater,17.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin-Stevens Pt,Wisconsin-Oshkosh,7.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western New Mexico,Eastern New Mexico,34.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany State GA,Edward Waters,42.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockford,Concordia-Wisconsin,35.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coe College,Wartburg,7.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin-Stout,Wisconsin-Eau Claire,42.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,Aurora,14.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami (OH),Central Michigan,46.0,7.0,73.0,80.0,72.0,75.0,,90.0,46.329,38.021,53.012,55.962,120.0,123.0,118.0,125.0,,125.0,22.505,23.257,30.33,49.931,2024.0,Miami (OH),Mid-American,1.3,68.0,,,98.0,23.2,43.0,23.2,1.3,2024.0,Central Michigan,Mid-American,-15.8,120.0,,,122.0,17.7,115.0,34.3,0.9
Curry College,Husson,34.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worcester Polytechnic Institute,Merchant Marine Academy,35.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Tech,Charleston Southern,28.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayetteville State,Shaw,35.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Missouri,Washburn,31.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millsaps,Hendrix College,27.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
